"Origin_city","Destination_city"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Elmira, NY","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Fayetteville, AR","Miami, FL"
"Cedar Rapids, IA","Miami, FL"
"Cedar Rapids, IA","Miami, FL"
"Cedar Rapids, IA","Miami, FL"
"Warrensburg, MO","Miami, FL"
"San Antonio, TX","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"San Antonio, TX","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Springfield, MO","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"San Antonio, TX","Miami, FL"
"San Antonio, TX","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"Minneapolis, MN","Miami, FL"
"San Antonio, TX","Miami, FL"
"San Antonio, TX","Miami, FL"
